ID,Name,Specialty,Contribution,Price,ImageUrl
38,Brendan Eich,Programming Languages,Created JavaScript in just 10 days while at Netscape in 1995.,18.99,https://placecats.com/200/280
39,John Backus,Programming Languages,"Led the team that created FORTRAN, the first widely used high-level programming language.",196.99,https://placecats.com/200/280
40,Edgar F. Codd,Database Systems,"Invented the relational model for database management, the theoretical basis for relational databases.",101.99,https://placecats.com/200/280
41,Tony Hoare,Algorithms_Theory,Developed the Quicksort algorithm and made significant contributions to programming language design.,18.99,https://placecats.com/200/280
42,Geoffrey Hinton,Artificial Intelligence,Pioneer in deep learning neural networks and backpropagation algorithms.,93.99,https://placecats.com/200/280
43,Yann LeCun,Artificial Intelligence,Developed convolutional neural networks (CNNs) that revolutionized computer vision.,21.99,https://placecats.com/200/280
44,Yoshua Bengio,Artificial Intelligence,Pioneering work on artificial neural networks and deep learning.,24.99,https://placecats.com/200/280
45,Andrew Ng,Artificial Intelligence,"Co-founded Google Brain and Coursera, making significant contributions to deep learning research.",96.99,https://placecats.com/200/280
46,Fei-Fei Li,Artificial Intelligence,"Created ImageNet, the dataset that revolutionized computer vision and deep learning.",95.99,https://placecats.com/200/280
47,Judea Pearl,Artificial Intelligence,"Developed Bayesian networks and probabilistic approaches to AI, advancing causal reasoning.",16.99,https://placecats.com/200/280
48,Ivan Sutherland,Graphics_HCI,"Developed Sketchpad, the first graphical user interface, and pioneered virtual reality.",183.99,https://placecats.com/200/280
49,Niklaus Wirth,Programming Languages,"Created several programming languages including Pascal, Modula, and Oberon.",11.99,https://placecats.com/200/280
50,Ray Tomlinson,Networking_Internet,Implemented the first email program and chose the @ symbol for email addresses.,12.99,https://placecats.com/200/280
51,Brian Kernighan,Programming Languages,Co-authored the first book on C programming language and contributed to Unix development.,188.99,https://placecats.com/200/280
52,Leslie Lamport,Algorithms_Theory,Developed the concept of distributed systems and created LaTeX document preparation system.,165.99,https://placecats.com/200/280
53,Peter Naur,Programming Languages,Contributed to the development of ALGOL 60 and co-developed the Backus-Naur Form notation.,166.99,https://placecats.com/200/280
54,Ted Codd,Database Systems,"Invented the relational model for database management, the theoretical basis for relational databases.",93.99,https://placecats.com/200/280
55,James Clark,Networking_Internet,Significant contributor to XML and SGML standards and creator of various XML tools.,73.99,https://placecats.com/200/280
56,Larry Wall,Programming Languages,"Created the Perl programming language, designed for text manipulation.",164.99,https://placecats.com/200/280
57,Adele Goldberg,Programming Languages,Developed the Smalltalk language and pioneered object-oriented programming concepts.,193.99,https://placecats.com/200/280
58,Alan Kay,Programming Languages,Pioneer of object-oriented programming and the concept of the personal computer.,140.99,https://placecats.com/200/280
59,Douglas Engelbart,Graphics_HCI,Invented the computer mouse and demonstrated early hypertext systems.,99.99,https://placecats.com/200/280
60,Ted Nelson,Networking_Internet,Pioneered hypertext and coined the term; developed the Xanadu project.,34.99,https://placecats.com/200/280
61,Gordon Moore,Computer Architecture,Co-founder of Intel and author of Moore's Law predicting the growth of computing power.,120.99,https://placecats.com/200/280
62,Seymour Cray,Computer Architecture,Designer of supercomputers and founder of Cray Research.,55.99,https://placecats.com/200/280
63,Steve Wozniak,Computer Architecture,Co-founded Apple and designed the Apple I and Apple II computers.,61.99,https://placecats.com/200/280
64,David Patterson,Computer Architecture,Developed the RISC processor architecture and co-authored influential computer architecture books.,83.99,https://placecats.com/200/280
65,John Hennessy,Computer Architecture,Co-developed RISC architecture and co-authored key textbooks on computer architecture.,147.99,https://placecats.com/200/280
66,Yukihiro Matsumoto,Programming Languages,"Created the Ruby programming language, focusing on programmer happiness.",20.99,https://placecats.com/200/280
67,Rasmus Lerdorf,Programming Languages,"Created the PHP programming language, widely used for web development.",12.99,https://placecats.com/200/280
68,Joe Armstrong,Programming Languages,"Created the Erlang programming language, designed for concurrent, distributed systems.",49.99,https://placecats.com/200/280
69,Robin Milner,Programming Languages,Developed ML programming language and made significant contributions to concurrent systems theory.,14.99,https://placecats.com/200/280
70,Kristen Nygaard,Programming Languages,"Co-invented Simula, the first object-oriented programming language.",176.99,https://placecats.com/200/280
71,Ole-Johan Dahl,Programming Languages,"Co-created Simula with Kristen Nygaard, pioneering object-oriented programming concepts.",41.99,https://placecats.com/200/280
72,Whitfield Diffie,Cybersecurity,Co-invented public key cryptography and the Diffie-Hellman key exchange protocol.,43.99,https://placecats.com/200/280
73,Martin Hellman,Cybersecurity,Co-invented the Diffie-Hellman key exchange method for secure communications.,127.99,https://placecats.com/200/280
74,Ron Rivest,Cybersecurity,Co-invented the RSA algorithm for public-key cryptography.,12.99,https://placecats.com/200/280
75,Adi Shamir,Cybersecurity,Co-invented the RSA algorithm and made significant contributions to cryptography.,148.99,https://placecats.com/200/280
76,Leonard Adleman,Cybersecurity,Co-invented the RSA algorithm and coined the term 'computer virus'.,95.99,https://placecats.com/200/280
77,Bruce Schneier,Cybersecurity,Created several encryption algorithms and wrote influential books on cryptography and security.,23.99,https://placecats.com/200/280
78,Jim Gray,Database Systems,Pioneered transaction processing concepts and contributed to database system development.,35.99,https://placecats.com/200/280
79,Michael Stonebraker,Database Systems,"Created Ingres and Postgres database systems, pioneering relational and object-relational databases.",79.99,https://placecats.com/200/280
80,Ralph Kimball,Database Systems,Developed the dimensional modeling approach for data warehousing.,136.99,https://placecats.com/200/280
81,Tim Cook,Software Engineering,Led Apple's operational excellence and continued innovation after Steve Jobs.,44.99,https://placecats.com/200/280
82,Satya Nadella,Software Engineering,"Transformed Microsoft's culture and business, emphasizing cloud computing and AI.",164.99,https://placecats.com/200/280
83,Andrew S. Tanenbaum,Operating Systems,"Created MINIX, which influenced Linux, and wrote influential books on operating systems.",196.99,https://placecats.com/200/280
84,Lynn Conway,Computer Architecture,Pioneer in microelectronics chip design and co-authored landmark textbook 'Introduction to VLSI Systems'.,172.99,https://placecats.com/200/280
85,Jean E. Sammet,Programming Languages,"Developed FORMAC, the first widely used language for symbolic mathematics, and documented programming language history.",124.99,https://placecats.com/200/280
86,Shafi Goldwasser,Cybersecurity,Pioneered zero-knowledge proofs and probabilistic encryption in cryptography.,34.99,https://placecats.com/200/280
87,Frances E. Allen,Programming Languages,Pioneer in compiler optimization techniques and parallel computing.,176.99,https://placecats.com/200/280
88,Maurice Wilkes,Computer Architecture,"Built the EDSAC, one of the first stored-program computers.",36.99,https://placecats.com/200/280
89,Marc Andreessen,Networking_Internet,"Co-created Mosaic, the first widely-used web browser, and co-founded Netscape.",58.99,https://placecats.com/200/280
90,Vannevar Bush,Graphics_HCI,"Conceptualized the Memex, a hypothetical device that influenced the development of hypertext.",117.99,https://placecats.com/200/280
91,Bob Metcalfe,Networking_Internet,Invented Ethernet and co-founded 3Com Corporation.,93.99,https://placecats.com/200/280
92,Randy Pausch,Graphics_HCI,Pioneer in virtual reality and human-computer interaction; created Alice programming environment.,111.99,https://placecats.com/200/280
93,Sophie Wilson,Computer Architecture,"Designed the instruction set for ARM processors, now used in billions of devices.",50.99,https://placecats.com/200/280
94,Steve Furber,Computer Architecture,Co-designed the ARM processor while at Acorn Computers.,64.99,https://placecats.com/200/280
95,Butler Lampson,Software Engineering,Contributed to the development of personal distributed computing and local area networks.,151.99,https://placecats.com/200/280
96,Roy Fielding,Networking_Internet,Principal author of the HTTP specification and formulated the REST architectural style.,150.99,https://placecats.com/200/280
97,Katherine Johnson,Software Engineering,NASA mathematician whose calculations were critical for early U.S. spaceflights and the Space Shuttle program.,163.99,https://placecats.com/200/280
98,Richard Hamming,Algorithms_Theory,"Developed error-detecting and error-correcting codes, including Hamming codes.",152.99,https://placecats.com/200/280
